id,name,TMDB_ID,year
672,Legion,/tv/67195, 2017
673,Runaways,/tv/116521, 2012
674,Star Wars: Forces of Destiny,/tv/71412, 2017
675,Mindhunter,/tv/67744, 2017
676,The End of the F...ing World,/tv/74577, 2017
677,The Mick,/tv/66551, 2017
678,The OA,/tv/69061, 2016
679,12 Monkeys,/tv/60948, 2015
680,Agent Carter,/tv/61550, 2015
681,And Then There Were None,/tv/64684, 2015
682,Killjoys,/tv/62413, 2015
683,Poldark,/tv/62084, 2015
684,The Man in the High Castle,/tv/62017, 2015
685,The Magicians,/tv/64432, 2015
686,Mr. Robot,/tv/62560, 2015
687,Master of None,/tv/64254, 2015
