id,a_id,movie_name,year,torrent_id,quality
2074,1216,Equals,2015,6D98B92B603F42C093328E1D9EF459FC158B65E5,720p BluRay
2075,1216,Equals,2015,1B96E452B305857C1DB90B91ADD680AC57CEAFDC,1080p BluRay
2076,1217,Everest,2015,0979AF39AD23119ED2AE6B090793D2EBC47E51DA,3D BluRay
2077,1217,Everest,2015,AC67846399531E569923E23A5F990EDD33B13435,720p BluRay
2078,1217,Everest,2015,2FC0CECC4AD23489296A06B118FDDA9265DA5D3A,1080p BluRay
2079,1218,Eye in the Sky,2015,EB3CDDC7D30E2C25DE1FE3613351228A68E068E0,720p BluRay
2080,1218,Eye in the Sky,2015,21E41D8BBF5EFD8EDE8507A944AE431CAEA52F3D,1080p BluRay
2081,1219,Fantastic Four,2015,34888390F0DD20353B703F7C2C4E62808C65EC4E,720p BluRay
2082,1219,Fantastic Four,2015,DFA6E83210C1027A44E8ADC9F2A62E303C4852CE,1080p BluRay
2083,1220,Far from the Madding Crowd,2015,7FA406FE0B6A2484D8D1871B26B29F7062632246,720p BluRay
2084,1220,Far from the Madding Crowd,2015,8305F63737603DE8113E8C77ED1D36BF8F9090EC,1080p BluRay
2085,1221,Focus,2015,8C35AAFAA303DEBD94AA691241CA0E5C98223023,720p BluRay
2086,1221,Focus,2015,63666C575CBEBBF5DFC3D69F1CDBDA66C02F87CB,1080p BluRay
2087,1222,Freeheld,2015,E8AF04960AEAC169E897260B0F706D9FA92CD5AC,720p BluRay
2088,1222,Freeheld,2015,9C2608D79081C9F86E5556D26845403B942A76CA,1080p BluRay
2089,1223,Frozen Fever,2015,C80A1265F3C5663203F7C6F103EF3409B81A71FE,720p BluRay
2090,1223,Frozen Fever,2015,95EF921A3E1128F65CDD7B85E87D738249FA94A1,1080p BluRay
2091,1224,Get Hard,2015,A07484D413830E06E9B76BF76C2B1333F0B25BA7,720p BluRay
2092,1224,Get Hard,2015,1A79B3C1987AE9A456BAB4617A9B47C8231E59C7,1080p BluRay
2093,1225,Goosebumps,2015,00E72ED34A31036D48A5F58BDFE5AF61DF9DD76F,3D BluRay
2094,1225,Goosebumps,2015,802F7FF837F2F3B0BB96AB8AB07285760A79FAC3,720p BluRay
2095,1225,Goosebumps,2015,8D8AD1581D7B880FD1A811FAEB17FB75D94A5111,1080p BluRay
2096,1226,Grandma,2015,067390E814FEE9D4832C05B9C12E83860376767D,720p BluRay
